iter	Passed	Remaining
0	1	139
1	2	140
2	3	127
3	4	112
4	5	109
5	6	106
6	7	103
7	8	100
8	10	103
9	11	101
10	12	98
11	13	97
12	14	94
13	15	93
14	16	91
15	17	90
16	18	88
17	19	86
18	19	85
19	21	84
20	22	84
21	23	83
22	24	82
23	25	81
24	26	80
25	27	79
26	28	77
27	29	75
28	30	74
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	62
39	41	61
40	42	60
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	95	3
96	96	2
97	97	1
98	98	0
99	100	0
