iter	Passed	Remaining
0	142	142251
1	143	71851
2	144	48110
3	145	36254
4	146	29218
5	147	24492
6	148	21104
7	149	18596
8	150	16613
9	152	15062
10	154	13924
11	155	12819
12	156	11884
13	157	11104
14	158	10427
15	159	9831
16	160	9293
17	161	8828
18	162	8407
19	163	8028
20	164	7674
21	165	7353
22	166	7069
23	167	6806
24	168	6557
25	168	6323
26	169	6108
27	170	5911
28	171	5731
29	171	5560
30	172	5401
31	173	5248
32	174	5113
33	175	4983
34	176	4856
35	177	4740
36	177	4628
37	178	4523
38	179	4424
39	180	4328
40	181	4255
41	183	4181
42	184	4095
43	185	4026
44	186	3949
45	187	3884
46	188	3816
47	189	3751
48	189	3684
49	190	3623
50	191	3572
51	192	3516
52	193	3461
53	194	3405
54	195	3352
55	195	3302
56	196	3253
57	197	3208
58	198	3164
59	199	3120
60	199	3077
61	200	3034
62	201	2996
63	202	2956
64	202	2919
65	203	2881
66	204	2846
67	205	2809
68	205	2776
69	206	2742
70	207	2710
71	207	2679
72	208	2648
73	209	2618
74	209	2589
75	210	2559
76	211	2531
77	211	2504
78	212	2479
79	213	2455
80	214	2431
81	215	2408
82	215	2380
83	216	2362
84	218	2348
85	219	2329
86	220	2310
87	221	2291
88	221	2270
89	222	2251
90	223	2233
91	224	2215
92	225	2196
93	225	2176
94	226	2157
95	227	2139
96	228	2123
97	229	2108
98	229	2092
99	230	2076
100	231	2060
101	232	2043
102	233	2030
103	234	2016
104	234	2002
105	235	1989
106	237	1980
107	238	1968
108	239	1957
109	240	1945
110	241	1933
111	242	1920
112	242	1907
113	243	1893
114	244	1881
115	245	1869
116	246	1857
117	246	1844
118	247	1831
119	248	1819
120	248	1807
121	249	1795
122	250	1785
123	251	1775
124	252	1764
125	252	1754
126	253	1742
127	254	1732
128	255	1722
129	255	1713
130	257	1705
131	257	1695
132	258	1685
133	259	1678
134	260	1671
135	261	1663
136	262	1654
137	263	1645
138	264	1636
139	264	1626
140	265	1618
141	266	1608
142	267	1600
143	267	1591
144	268	1583
145	269	1574
146	269	1566
147	270	1558
148	271	1550
149	272	1542
150	272	1533
151	273	1525
152	274	1517
153	274	1510
154	275	1504
155	276	1498
156	278	1497
157	280	1492
158	281	1487
159	282	1480
160	282	1473
161	283	1466
162	284	1459
163	285	1452
164	285	1446
165	286	1439
166	287	1432
167	288	1426
168	288	1419
169	289	1413
170	290	1407
171	291	1401
172	291	1395
173	292	1389
174	293	1382
175	294	1376
176	294	1370
177	295	1364
178	296	1357
179	296	1351
180	297	1346
181	298	1340
182	298	1334
183	299	1328
184	300	1325
185	301	1320
186	302	1315
187	303	1310
188	304	1306
189	305	1302
190	306	1298
191	307	1293
192	308	1289
193	309	1286
194	311	1284
195	311	1279
196	312	1274
197	313	1269
198	314	1265
199	315	1260
200	315	1255
201	316	1250
202	317	1246
203	318	1241
204	318	1236
205	319	1231
206	320	1227
207	321	1222
208	322	1218
209	322	1214
210	323	1210
211	324	1205
212	325	1201
213	325	1197
214	326	1192
215	327	1188
216	328	1184
217	329	1180
218	329	1176
219	330	1172
220	331	1169
221	332	1166
222	333	1162
223	334	1159
224	336	1157
225	337	1155
226	339	1154
227	340	1151
228	341	1149
229	342	1145
230	343	1142
231	344	1138
232	344	1135
233	345	1132
234	346	1129
235	348	1127
236	349	1123
237	349	1119
238	350	1116
239	351	1113
240	352	1110
241	353	1106
242	354	1103
243	355	1100
244	355	1096
245	356	1094
246	357	1090
247	358	1087
248	360	1087
249	361	1085
250	362	1082
251	363	1079
252	364	1076
253	365	1074
254	366	1071
255	367	1068
256	368	1065
257	369	1061
258	369	1058
259	370	1055
260	371	1051
261	372	1048
262	373	1045
263	374	1042
264	374	1039
265	375	1036
266	376	1033
267	377	1030
268	378	1027
269	379	1025
270	382	1027
271	383	1027
272	385	1025
273	386	1023
274	387	1020
275	388	1018
276	389	1015
277	390	1013
278	391	1010
279	391	1007
280	392	1004
281	393	1002
282	394	999
283	395	997
284	396	995
285	397	993
286	398	990
287	399	987
288	400	985
289	401	982
290	402	980
291	403	977
292	403	974
293	404	971
294	405	969
295	406	966
296	407	964
297	408	961
298	409	959
299	410	957
300	411	954
301	412	952
302	412	949
303	413	947
304	414	945
305	415	943
306	416	940
307	417	938
308	418	935
309	419	933
310	420	932
311	422	930
312	422	928
313	423	926
314	424	923
315	425	921
316	426	918
317	427	917
318	428	914
319	429	912
320	430	910
321	431	908
322	432	906
323	433	903
324	433	901
325	434	898
326	435	896
327	436	893
328	436	891
329	438	890
330	439	887
331	439	885
332	440	882
333	441	880
334	442	877
335	443	875
336	444	873
337	444	871
338	445	868
339	446	866
340	446	863
341	447	861
342	448	858
343	449	856
344	449	854
345	450	851
346	451	849
347	452	847
348	453	845
349	453	842
350	454	840
351	455	838
352	456	836
353	457	834
354	458	833
355	459	832
356	461	830
357	461	828
358	462	826
359	463	824
360	464	821
361	465	819
362	466	818
363	467	816
364	468	814
365	469	812
366	470	811
367	471	809
368	472	807
369	473	805
370	473	803
371	474	801
372	475	799
373	476	797
374	476	794
375	477	792
376	478	790
377	479	788
378	480	786
379	483	788
380	484	787
381	485	785
382	486	784
383	487	781
384	488	779
385	488	777
386	489	775
387	490	773
388	491	771
389	492	769
390	492	767
391	493	765
392	494	763
393	495	762
394	496	760
395	497	758
396	498	756
397	499	755
398	500	754
399	501	752
400	502	750
401	503	748
402	503	746
403	504	744
404	505	742
405	506	741
406	507	739
407	508	737
408	509	735
409	510	733
410	510	732
411	511	730
412	513	729
413	514	728
414	515	727
415	517	725
416	519	725
417	520	724
418	521	722
419	521	720
420	522	719
421	523	717
422	524	715
423	525	713
424	526	711
425	527	710
426	527	708
427	528	706
428	529	704
429	530	702
430	531	701
431	531	699
432	532	697
433	533	695
434	534	693
435	534	691
436	535	689
437	536	689
438	537	687
439	539	686
440	539	684
441	540	682
442	541	681
443	542	679
444	543	678
445	544	676
446	545	674
447	546	673
448	547	671
449	548	670
450	549	669
451	551	668
452	552	667
453	553	665
454	554	663
455	554	661
456	555	660
457	556	658
458	557	657
459	558	655
460	559	653
461	559	651
462	560	650
463	561	648
464	562	646
465	562	645
466	563	643
467	564	641
